name,initial_endorsement,final_endorsement
Aaron Bell,Tugendhat,Truss
Adam Afriyie,Badenoch,NA
Adam Holloway,Truss,Truss
Alan Mak,Sunak,Sunak
Alberto Costa,Mordaunt,Truss
Alec Shelbrooke,Truss,Truss
Alex Burghart,Badenoch,Truss
Alex Chalk,Sunak,Sunak
Alexander Stafford,Truss,Truss
Alicia Kearns,Mordaunt,Sunak
Alun Cairns,Sunak,Truss
Amanda Milling,Zahawi,Truss
Amanda Solloway,Truss,Truss
Andrea Jenkyns,Truss,Truss
Andrea Leadsom,Mordaunt,Truss
Andrew Bowie,Sunak,Sunak
Andrew Bridgen,Sunak,Sunak
Andrew Griffith,Truss,Truss
Andrew Jones,Sunak,Sunak
Andrew Lewer,Badenoch,Truss
Andrew Mitchell,Hunt,Sunak
Andrew Murrison,Sunak,Sunak
Andrew Rosindell,Truss,Truss
Andrew Selous,Sunak,Sunak
Andy Carter,Truss,Truss
Angela Richardson,Sunak,Sunak
Anna Firth,Truss,Truss
Anne Marie Morris,Tugendhat,Truss
Anne-Marie Trevelyan,Tugendhat,Truss
Anthony Browne,Sunak,Sunak
Anthony Mangnall,Hunt,Sunak
Antony Higginbotham,Mordaunt,Truss
Ben Bradley,Badenoch,NA
Ben Everitt,Zahawi,NA
Ben Spencer,Tugendhat,NA
Ben Wallace,Truss,Truss
Bernard Jenkin,Braverman,NA
Bill Cash,Truss,Truss
Bill Wiggin,Badenoch,Truss
Bim Afolami,Sunak,Sunak
Bob Neill,Sunak,Sunak
Bob Seely,Mordaunt,Truss
Bob Stewart,Mordaunt,Sunak
Brandon Lewis,Zahawi,Truss
Brendan Clarke-Smith,Truss,Truss
Caroline Ansell,Mordaunt,Sunak
Caroline Dinenage,Mordaunt,NA
Caroline Johnson,Badenoch,Truss
Caroline Nokes,Mordaunt,Sunak
Charles Walker,Mordaunt,NA
Cherilyn Mackrory,Truss,Truss
Chloe Smith,Truss,Truss
Chris Clarkson,Sunak,Sunak
Chris Green,Tugendhat,Truss
Chris Loder,Truss,Truss
Chris Philp,Truss,Truss
Chris Skidmore,Sunak,Truss
Christopher Chope,Truss,Truss
Claire Coutinho,Sunak,Sunak
Conor Burns,Truss,Truss
Craig Mackinlay,Truss,Truss
Craig Tracey,Mordaunt,Truss
Craig Whittaker,Truss,Truss
Craig Williams,Sunak,Sunak
Crispin Blunt,Hunt,Sunak
Damian Collins,Mordaunt,Truss
Damian Green,Tugendhat,Sunak
Damian Hinds,Sunak,Sunak
Damien Moore,Tugendhat,Truss
Daniel Kawczynski,Hunt,Truss
Daniel Poulter,Hunt,Sunak
Danny Kruger,Braverman,NA
Darren Henry,Truss,Truss
David Davies,Truss,Truss
David Davis,Mordaunt,Sunak
David Duguid,Truss,Truss
David Evennett,Truss,Truss
David Johnston,Zahawi,NA
David Jones,Braverman,Truss
David Morris,Hunt,NA
David Mundell,Truss,Truss
David Rutley,Sunak,Sunak
David Simmonds,Sunak,Sunak
Dean Russell,Truss,Truss
Dehenna Davison,Truss,Truss
Derek Thomas,Mordaunt,NA
Desmond Swayne,Braverman,Sunak
Dominic Raab,Sunak,Sunak
Duncan Baker,Mordaunt,Truss
Eddie Hughes,Badenoch,NA
Edward Argar,Truss,Truss
Edward Leigh,Truss,Truss
Edward Timpson,Sunak,Sunak
Elizabeth Truss,Truss,Truss
Elliot Colburn,Mordaunt,NA
Esther McVey,Hunt,NA
Fay Jones,Sunak,Sunak
Felicity Buchan,Truss,Truss
Flick Drummond,Sunak,Sunak
Gareth Bacon,Badenoch,Truss
Gareth Davies,Sunak,Sunak
Gareth Johnson,Truss,Truss
Gary Streeter,Sunak,Sunak
Gavin Williamson,Sunak,Sunak
Geoffrey Clifton-Brown,Sunak,Sunak
Geoffrey Cox,Sunak,Sunak
George Eustice,Sunak,Sunak
George Freeman,Mordaunt,Sunak
Giles Watling,Truss,Truss
Gillian Keegan,Sunak,Sunak
Gordon Henderson,Mordaunt,Truss
Graham Stuart,Truss,Truss
Grant Shapps,Sunak,Sunak
Greg Hands,Sunak,Sunak
Greg Knight,Sunak,Sunak
Greg Smith,Truss,Truss
Guy Opperman,Sunak,Sunak
Harriett Baldwin,Mordaunt,NA
Heather Wheeler,Mordaunt,Truss
Helen Whately,Sunak,Sunak
Henry Smith,Braverman,Truss
Huw Merriman,Sunak,Sunak
Iain Duncan Smith,Truss,Truss
Ian Levy,Truss,Truss
Jack Brereton,Zahawi,NA
Jackie Doyle-Price,Truss,Truss
Jacob Rees-Mogg,Truss,Truss
Jacob Young,Sunak,Sunak
Jake Berry,Tugendhat,Truss
James Cartlidge,Sunak,Sunak
James Cleverly,Truss,Truss
James Daly,Tugendhat,NA
James Davies,Truss,Truss
James Duddridge,Truss,Truss
James Gray,Mordaunt,Sunak
James Grundy,Truss,Truss
James Heappey,Truss,Truss
James Morris,Sunak,Sunak
James Sunderland,Mordaunt,Truss
James Wild,Sunak,Sunak
Jamie Wallis,Mordaunt,Sunak
Jason McCartney,Braverman,Truss
Jeremy Hunt,Hunt,Sunak
Jeremy Quin,Sunak,Sunak
Jerome Mayhew,Mordaunt,NA
Jesse Norman,Zahawi,NA
Jill Mortimer,Mordaunt,NA
Jo Gideon,Tugendhat,Sunak
John Baron,Mordaunt,NA
John Glen,Sunak,Sunak
John Hayes,Braverman,Truss
John Howell,Sunak,Sunak
John Lamont,Mordaunt,Sunak
John Penrose,Mordaunt,Truss
John Redwood,Truss,Truss
John Stevenson,Tugendhat,Sunak
John Whittingdale,Truss,Truss
Jonathan Djanogly,Hunt,Sunak
Jonathan Gullis,Zahawi,Truss
Jonathan Lord,Sunak,Sunak
Joy Morrissey,Truss,Truss
Julia Lopez,Badenoch,Truss
Julian Knight,Truss,Truss
Julian Lewis,Braverman,Truss
Julian Smith,Sunak,Sunak
Julian Sturdy,Sunak,Sunak
Julie Marson,Sunak,Sunak
Justin Tomlinson,Badenoch,NA
Karen Bradley,Tugendhat,Truss
Kate Griffiths,Mordaunt,NA
Katherine Fletcher,Truss,Truss
Kemi Badenoch,Badenoch,NA
Kevin Foster,Truss,Truss
Kevin Hollinrake,Sunak,Sunak
Kieran Mullan,Mordaunt,Truss
Kwasi Kwarteng,Truss,Truss
Laura Farris,Sunak,Sunak
Laura Trott,Sunak,Sunak
Laurence Robertson,Truss,Truss
Lee Anderson,Badenoch,Truss
Lee Rowley,Badenoch,Truss
Leo Docherty,Badenoch,Truss
Lia Nici,Truss,Truss
Liam Fox,Sunak,Sunak
Louie French,Sunak,Sunak
Lucy Allan,Badenoch,Truss
Lucy Frazer,Sunak,Sunak
Luke Evans,Mordaunt,NA
Luke Hall,Sunak,Sunak
Maggie Throup,Zahawi,Sunak
Marco Longhi,Badenoch,Truss
Marcus Fysh,Truss,Truss
Marcus Jones,Sunak,Sunak
Maria Caulfield,Sunak,Sunak
Maria Miller,Mordaunt,Truss
Mark Eastwood,Truss,Truss
Mark Fletcher,Zahawi,Truss
Mark Francois,Truss,Truss
Mark Garnier,Sunak,Sunak
Mark Harper,Sunak,Sunak
Mark Jenkinson,Zahawi,Truss
Mark Logan,Tugendhat,Sunak
Mark Menzies,Sunak,Sunak
Mark Pawsey,Tugendhat,Sunak
Mark Pritchard,Truss,Truss
Mark Spencer,Sunak,Sunak
Mary Robinson,Truss,Truss
Matt Warman,Sunak,Sunak
Matthew Hancock,Sunak,Sunak
Matthew Offord,Truss,Truss
Mel Stride,Sunak,Sunak
Michael Ellis,Sunak,Sunak
Michael Fabricant,Mordaunt,Truss
Michael Gove,Badenoch,Sunak
Michelle Donelan,Zahawi,Truss
Mike Freer,Truss,Truss
Mike Penning,Mordaunt,Truss
Mike Wood,Sunak,Sunak
Mims Davies,Mordaunt,Truss
Miriam Cates,Braverman,NA
Nadhim Zahawi,Zahawi,Truss
Nadine Dorries,Truss,Truss
Natalie Elphicke,Mordaunt,Truss
Neil Hudson,Tugendhat,NA
Neil O'Brien,Badenoch,NA
Nicholas Fletcher,Badenoch,Truss
Nick Gibb,Sunak,Sunak
Nickie Aiken,Tugendhat,Sunak
Nicola Richards,Mordaunt,Truss
Nigel Huddleston,Sunak,Sunak
Nigel Mills,Badenoch,Truss
Nusrat Ghani,Truss,Truss
Oliver Dowden,Sunak,Sunak
Oliver Heald,Hunt,NA
Paul Beresford,Hunt,Sunak
Paul Bristow,Truss,Truss
Paul Holmes,Tugendhat,Sunak
Paul Howell,Sunak,Sunak
Paul Maynard,Sunak,Sunak
Paul Scully,Zahawi,Truss
Pauline Latham,Truss,Truss
Penny Mordaunt,Mordaunt,Truss
Peter Aldous,Mordaunt,Sunak
Peter Bone,Truss,Truss
Peter Bottomley,Hunt,NA
Peter Gibson,Sunak,Sunak
Philip Davies,Hunt,Sunak
Philip Dunne,Hunt,Sunak
Philip Hollobone,Braverman,NA
Rachel Maclean,Truss,Truss
Ranil Jayawardena,Truss,Truss
Rebecca Harris,Truss,Truss
Rebecca Pow,Sunak,Sunak
Rehman Chishti,Tugendhat,Sunak
Richard Bacon,Sunak,Sunak
Richard Drax,Braverman,Truss
Richard Fuller,Sunak,Sunak
Richard Graham,Sunak,Sunak
Richard Holden,Sunak,Sunak
Rishi Sunak,Sunak,Sunak
Rob Butler,Truss,Truss
Robbie Moore,Mordaunt,NA
Robert Buckland,Sunak,Truss
Robert Courts,Badenoch,NA
Robert Goodwill,Sunak,Sunak
Robert Halfon,Sunak,Sunak
Robert Jenrick,Sunak,Sunak
Robert Largan,Tugendhat,NA
Robert Syms,Tugendhat,Sunak
Robin Millar,Braverman,NA
Robin Walker,Sunak,Sunak
Roger Gale,Mordaunt,NA
Ruth Edwards,Sunak,Sunak
Sajid Javid,Truss,Truss
Saqib Bhatti,Truss,Truss
Sara Britcliffe,Zahawi,Truss
Sarah Atherton,Mordaunt,Truss
Sarah Dines,Badenoch,Truss
Scott Benton,Truss,Truss
Scott Mann,Truss,Truss
Selaine Saxby,Sunak,Sunak
Shailesh Vara,Sunak,Sunak
Shaun Bailey,Truss,Truss
Sheryll Murray,Truss,Truss
Simon Baynes,Sunak,Sunak
Simon Clarke,Truss,Truss
Simon Fell,Tugendhat,Sunak
Simon Hart,Sunak,Sunak
Simon Hoare,Sunak,Sunak
Simon Jupp,Sunak,Sunak
Siobhan Baillie,Sunak,Sunak
Stephen Crabb,Sunak,Sunak
Stephen Hammond,Tugendhat,Sunak
Stephen McPartland,Truss,Truss
Stephen Metcalfe,Truss,Truss
Steven Baker,Braverman,Truss
Steve Barclay,Sunak,Sunak
Steve Brine,Hunt,Sunak
Steve Double,Sunak,Sunak
Stuart Anderson,Truss,Truss
Stuart Andrew,Sunak,Sunak
Suella Braverman,Braverman,Truss
Suzanne Webb,Truss,Truss
Theo Clarke,Mordaunt,NA
Theresa Villiers,Sunak,Sunak
Therese Coffey,Truss,Truss
Thomas Tugendhat,Tugendhat,Truss
Tim Loughton,Mordaunt,NA
Tobias Ellwood,Zahawi,NA
Tom Hunt,Badenoch,Truss
Tom Pursglove,Truss,Truss
Tom Randall,Badenoch,Sunak
Trudy Harrison,Mordaunt,Truss
Vicky Ford,Truss,Truss
Victoria Atkins,Sunak,Sunak
Victoria Prentis,Sunak,Sunak
Virginia Crosbie,Truss,Truss
Wendy Morton,Truss,Truss
Will Quince,Sunak,Sunak
