name,screen_name,party,constituency,on_twitter,first_elected_MP,cohort,minister_sept,minister_oct,abortion_vote_2022,brexit_stance,party_faction,gender,year_of_birth,ethnic_minority,school_type,educ_level,uni_type
Aaron Bell,AaronBell4NUL,Conservative,Newcastle-under-Lyme,1,2019,2019,Never,Never,Pro-Choice,NA,None/Other,0,1980,0,Grammar,Undergraduate Degree,Oxbridge
Abena Oppong-Asare,abenaopp,Labour,Erith and Thamesmead,1,2019,2019,Current,Current,Abstained,1,None/Other,1,1983,1,NA,Postgraduate Degree,Non-Russell Group
Adam Afriyie,AdamAfriyie,Conservative,Windsor,1,2005,1997-2010,Former,Former,Abstained,1,None/Other,0,1965,1,Grammar,Undergraduate Degree,Russell Group
Adam Holloway,AdamHollowayMP,Conservative,Gravesham,1,2005,1997-2010,Current,Current,Pro-Choice,1,European Research Group,0,1965,0,Independent/Fee-Paying,Postgraduate Degree,Oxbridge
Afzal Khan,Afzal4Gorton,Labour,"Manchester, Gorton",1,2017,2015-2019,Current,Current,Pro-Choice,1,None/Other,0,1958,1,NA,Undergraduate Degree,Non-Russell Group
Alan Brown,AlanBrownSNP,SNP,Kilmarnock and Loudoun,1,2015,2015-2019,Never,Never,Abstained,NA,None/Other,0,1970,0,Comprehensive/Academy/State-Funded Non-Selective,Undergraduate Degree,Russell Group
Alan Campbell,alancampbellmp,Labour,Tynemouth,1,1997,1997-2010,Current,Current,Pro-Choice,1,None/Other,0,1957,0,Grammar,Postgraduate Degree,Non-Russell Group
Alan Mak,AlanMakMP,Conservative,Havant,1,2015,2015-2019,Current,Former,Abstained,2,None/Other,0,1983,1,Independent/Fee-Paying,Undergraduate Degree,Oxbridge
Alan Whitehead,alanwhiteheadmp,Labour,"Southampton, Test",1,1997,1997-2010,Current,Current,Pro-Choice,1,None/Other,0,1950,0,Grammar,Postgraduate Degree,Russell Group
Alberto Costa,AlbertoCostaMP,Conservative,South Leicestershire,1,2015,2015-2019,Never,Never,Abstained,2,None/Other,0,1971,0,NA,NA,Russell Group
Alec Shelbrooke,AlecShelbrooke,Conservative,Elmet and Rothwell,1,2010,2010-2015,Never,Current,Pro-Choice,2,None/Other,0,1976,0,Comprehensive/Academy/State-Funded Non-Selective,Undergraduate Degree,Non-Russell Group
Alex Burghart,alexburghart,Conservative,Brentwood and Ongar,1,2017,2015-2019,Former,Current,Pro-Life,NA,None/Other,0,1977,0,Independent/Fee-Paying,Postgraduate Degree,Oxbridge
Alex Chalk,AlexChalkChelt,Conservative,Cheltenham,1,2015,2015-2019,Never,Never,Abstained,2,None/Other,0,1976,0,Independent/Fee-Paying,Postgraduate Degree,Oxbridge
